No.;Time;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter;;
77;14,290329;14,290329;14,290366;3,7E-05;-4E-05;-0,001651;-0,001611;;
78;14,290366;14,290366;14,290443;7,7E-05;-0,001651;0,001335;0,002986;;
79;14,290443;14,290443;14,292171;0,001728;0,001335;0,00011;-0,001225;;
80;14,292171;14,292171;14,292564;0,000393;0,00011;-0,008671;-0,008781;;
81;14,292564;14,292564;14,292847;0,000283;-0,008671;0,008954;0,017625;;
82;14,292847;14,292847;14,301801;0,008954;0,008954;-7,3E-05;-0,009027;;
83;14,301801;14,301801;14,301801;0;-7,3E-05;-0,000386;-0,000313;;
84;14,301801;14,301801;14,301874;7,3E-05;-0,000386;-0,005055;-0,004669;;
85;14,301874;14,301874;14,302333;0,000459;-0,005055;0,005457;0,010512;;
86;14,302333;14,302333;14,307847;0,005514;0,005457;-0,000143;-0,0056;;
87;14,307847;14,307847;14,307904;5,7E-05;-0,000143;-0,012257;-0,012114;;
88;14,307904;14,307904;14,308104;0,0002;-0,012257;0,012394;0,024651;;
89;14,308104;14,308104;14,320561;0,012457;0,012394;-5,2E-05;-0,012446;;
90;14,320561;14,320561;14,320624;6,3E-05;-5,2E-05;-0,000188;-0,000136;;
91;14,320624;14,320624;14,320739;0,000115;-0,000188;-0,007131;-0,006943;;
92;14,320739;14,320739;14,321042;0,000303;-0,007131;0,007379;0,01451;;
93;14,321042;14,321042;14,328476;0,007434;0,007379;-0,000112;-0,007491;;
94;14,328476;14,328476;14,328531;5,5E-05;-0,000112;-0,003738;-0,003626;;
95;14,328531;14,328531;14,328698;0,000167;-0,003738;0,002241;0,005979;;
96;14,328698;14,328698;14,332603;0,003905;0,002241;-0,002543;-0,004784;;
97;14,332603;14,332603;14,334267;0,001664;-0,002543;0,004207;0,00675;;
98;14,334267;14,334267;14,338474;0,004207;0,004207;0;-0,004207;;
99;14,338474;14,338474;14,338474;0;0;0;0;;
